S,Q5,Q10,Q25,Q50,Q100,Q500
9700,1.03072,1.102526,1.236048,1.389568,2.45632,3.81143
9800,1.02479,1.096094,1.228611,1.381126,2.44024,3.78582
9900,1.01886,1.089662,1.221174,1.372684,2.42416,3.76021
10000,1.01293,1.08323,1.213737,1.364242,2.40808,3.7346
10100,1.007,1.076798,1.2063,1.3558,2.392,3.70899
10200,1.00107,1.070366,1.198863,1.347358,2.37592,3.68338
10300,0.99514,1.063934,1.191426,1.338916,2.35984,3.65777
10400,0.98921,1.057502,1.183989,1.330474,2.34376,3.63216
10500,0.98328,1.05107,1.176552,1.322032,2.32768,3.60655
10600,0.97735,1.044638,1.169115,1.31359,2.3116,3.58094
10700,0.97142,1.038206,1.161678,1.305148,2.29552,3.55533
10800,0.96549,1.031774,1.154241,1.296706,2.27944,3.52972
10900,0.95956,1.025342,1.146804,1.288264,2.26336,3.50411
11000,0.95363,1.01891,1.139367,1.279822,2.24728,3.4785
11100,0.9477,1.012478,1.13193,1.27138,2.2312,3.45289
11200,0.94177,1.006046,1.124493,1.262938,2.21512,3.42728
11300,0.93584,0.999614,1.117056,1.254496,2.19904,3.40167
11400,0.92991,0.993182,1.109619,1.246054,2.18296,3.37606
11500,0.92398,0.98675,1.102182,1.237612,2.16688,3.35045
11600,0.91805,0.980318,1.094745,1.22917,2.1508,3.32484
11700,0.91212,0.973886,1.087308,1.220728,2.13472,3.29923
11800,0.90619,0.967454,1.079871,1.212286,2.11864,3.27362
11900,0.90026,0.961022,1.072434,1.203844,2.10256,3.24801
12000,0.89433,0.95459,1.064997,1.195402,2.08648,3.2224
12100,0.8884,0.948158,1.05756,1.18696,2.0704,3.19679
12200,0.88247,0.941726,1.050123,1.178518,2.05432,3.17118
12300,0.87654,0.935294,1.042686,1.170076,2.03824,3.14557
12400,0.87061,0.928862,1.035249,1.161634,2.02216,3.11996
12500,0.86468,0.92243,1.027812,1.153192,2.00608,3.09435
12600,0.85875,0.915998,1.020375,1.14475,1.99,3.06874
12700,0.85282,0.909566,1.012938,1.136308,1.97392,3.04313
12800,0.84689,0.903134,1.005501,1.127866,1.95784,3.01752
12900,0.84096,0.896702,0.998064,1.119424,1.94176,2.99191
13000,0.83503,0.89027,0.990627,1.110982,1.92568,2.9663
13100,0.8291,0.883838,0.98319,1.10254,1.9096,2.94069
13200,0.82317,0.877406,0.975753,1.094098,1.89352,2.91508
13300,0.81724,0.870974,0.968316,1.085656,1.87744,2.88947
13400,0.81131,0.864542,0.960879,1.077214,1.86136,2.86386
13500,0.80538,0.85811,0.953442,1.068772,1.84528,2.83825
13600,0.79945,0.851678,0.946005,1.06033,1.8292,2.81264
13700,0.79352,0.845246,0.938568,1.051888,1.81312,2.78703
13800,0.78759,0.838814,0.931131,1.043446,1.79704,2.76142
13900,0.78166,0.832382,0.923694,1.035004,1.78096,2.73581
14000,0.77573,0.82595,0.916257,1.026562,1.76488,2.7102
14100,0.7698,0.819518,0.90882,1.01812,1.7488,2.68459
14200,0.76387,0.813086,0.901383,1.009678,1.73272,2.65898
14300,0.75794,0.806654,0.893946,1.001236,1.71664,2.63337
14400,0.75201,0.800222,0.886509,0.992794,1.70056,2.60776
14500,0.74608,0.79379,0.879072,0.984352,1.68448,2.58215
14600,0.74015,0.787358,0.871635,0.97591,1.6684,2.55654
14700,0.73422,0.780926,0.864198,0.967468,1.65232,2.53093
14800,0.72829,0.774494,0.856761,0.959026,1.63624,2.50532
14900,0.72236,0.768062,0.849324,0.950584,1.62016,2.47971
15000,0.71643,0.76163,0.841887,0.942142,1.60408,2.4541
15100,0.7105,0.755198,0.83445,0.9337,1.588,2.42849
15200,0.70457,0.748766,0.827013,0.925258,1.57192,2.40288
15300,0.69864,0.742334,0.819576,0.916816,1.55584,2.37727
15400,0.69271,0.735902,0.812139,0.908374,1.53976,2.35166
15500,0.68678,0.72947,0.804702,0.899932,1.52368,2.32605
15600,0.68085,0.723038,0.797265,0.89149,1.5076,2.30044
15700,0.67492,0.716606,0.789828,0.883048,1.49152,2.27483
15800,0.66899,0.710174,0.782391,0.874606,1.47544,2.24922
15900,0.66306,0.703742,0.774954,0.866164,1.45936,2.22361
16000,0.65713,0.69731,0.767517,0.857722,1.44328,2.198
16100,0.6512,0.690878,0.76008,0.84928,1.4272,2.17239
16200,0.64527,0.684446,0.752643,0.840838,1.41112,2.14678
16300,0.63934,0.678014,0.745206,0.832396,1.39504,2.12117
16400,0.63341,0.671582,0.737769,0.823954,1.37896,2.09556
16500,0.62748,0.66515,0.730332,0.815512,1.36288,2.06995
16600,0.62155,0.658718,0.722895,0.80707,1.3468,2.04434
16700,0.61562,0.652286,0.715458,0.798628,1.33072,2.01873
16800,0.60969,0.645854,0.708021,0.790186,1.31464,1.99312
16900,0.60376,0.639422,0.700584,0.781744,1.29856,1.96751
